file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,125,css,adb5cf59,ishita-takkar,2025-04-11,12:32:13,-07:00,2025-04-11T12:32:13-07:00,0,0
style.css,126,css,adb5cf59,ishita-takkar,2025-04-11,12:32:13,-07:00,2025-04-11T12:32:13-07:00,0,24
style.css,127,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,27
style.css,128,css,2144ed89,ishita-takkar,2025-04-11,12:36:12,-07:00,2025-04-11T12:36:12-07:00,0,0
style.css,129,css,2144ed89,ishita-takkar,2025-04-11,12:36:12,-07:00,2025-04-11T12:36:12-07:00,0,0
style.css,130,css,2144ed89,ishita-takkar,2025-04-11,12:36:12,-07:00,2025-04-11T12:36:12-07:00,0,13
style.css,131,css,2144ed89,ishita-takkar,2025-04-11,12:36:12,-07:00,2025-04-11T12:36:12-07:00,0,18
style.css,132,css,34689caf,ishita-takkar,2025-04-11,12:10:36,-07:00,2025-04-11T12:10:36-07:00,0,0
style.css,133,css,adb5cf59,ishita-takkar,2025-04-11,12:32:13,-07:00,2025-04-11T12:32:13-07:00,0,0
style.css,134,css,adb5cf59,ishita-takkar,2025-04-11,12:32:13,-07:00,2025-04-11T12:32:13-07:00,0,14
style.css,135,css,adb5cf59,ishita-takkar,2025-04-11,12:32:13,-07:00,2025-04-11T12:32:13-07:00,0,11
style.css,136,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,12
style.css,137,css,adb5cf59,ishita-takkar,2025-04-11,12:32:13,-07:00,2025-04-11T12:32:13-07:00,0,17
style.css,138,css,2144ed89,ishita-takkar,2025-04-11,12:36:12,-07:00,2025-04-11T12:36:12-07:00,0,18
style.css,139,css,adb5cf59,ishita-takkar,2025-04-11,12:32:13,-07:00,2025-04-11T12:32:13-07:00,0,0
style.css,140,css,adb5cf59,ishita-takkar,2025-04-11,12:32:13,-07:00,2025-04-11T12:32:13-07:00,0,0
style.css,141,css,adb5cf59,ishita-takkar,2025-04-11,12:32:13,-07:00,2025-04-11T12:32:13-07:00,0,12
style.css,142,css,adb5cf59,ishita-takkar,2025-04-11,12:32:13,-07:00,2025-04-11T12:32:13-07:00,0,14
style.css,143,css,adb5cf59,ishita-takkar,2025-04-11,12:32:13,-07:00,2025-04-11T12:32:13-07:00,0,16
style.css,144,css,8eb73795,ishita-takkar,2025-04-11,14:40:52,-07:00,2025-04-11T14:40:52-07:00,0,0
style.css,145,css,8eb73795,ishita-takkar,2025-04-11,14:40:52,-07:00,2025-04-11T14:40:52-07:00,0,0
style.css,146,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,23
style.css,147,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,16
style.css,148,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,18
style.css,149,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,9
style.css,150,css,c8c03ec3,ishita-takkar,2025-04-25,19:50:18,-07:00,2025-04-25T19:50:18-07:00,0,0
style.css,151,css,c8c03ec3,ishita-takkar,2025-04-25,19:50:18,-07:00,2025-04-25T19:50:18-07:00,0,0
style.css,152,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,3
style.css,153,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,17
style.css,154,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,19
style.css,155,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,16
style.css,156,css,fc84571d,ishita-takkar,2025-05-03,03:00:33,-07:00,2025-05-03T03:00:33-07:00,0,0
style.css,157,css,0f47d13a,ishita-takkar,2025-05-03,10:13:07,-07:00,2025-05-03T10:13:07-07:00,0,0
style.css,158,css,ac67c309,ishita-takkar,2025-05-03,12:00:36,-07:00,2025-05-03T12:00:36-07:00,0,19
style.css,159,css,0f47d13a,ishita-takkar,2025-05-03,10:13:07,-07:00,2025-05-03T10:13:07-07:00,0,15
style.css,160,css,0f47d13a,ishita-takkar,2025-05-03,10:13:07,-07:00,2025-05-03T10:13:07-07:00,0,17
style.css,161,css,0f47d13a,ishita-takkar,2025-05-03,10:13:07,-07:00,2025-05-03T10:13:07-07:00,0,17
style.css,162,css,0f47d13a,ishita-takkar,2025-05-03,10:13:07,-07:00,2025-05-03T10:13:07-07:00,0,0
style.css,163,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,0
style.css,164,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,11
style.css,165,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,13
style.css,166,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,9
